year,sex,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation,category_id
1995,male,13,232900,5.58,"2,424,499,009",835,Generation X,1
1995,male,9,178000,5.06,"2,424,499,009",835,Silent,1
1995,female,2,40800,4.9,"2,424,499,009",835,G.I. Generation,1
1995,female,13,283500,4.59,"2,424,499,009",835,Generation X,1
1995,male,11,241200,4.56,"2,424,499,009",835,Generation X,1
1995,male,1,25100,3.98,"2,424,499,009",835,G.I. Generation,1
1995,male,14,375900,3.72,"2,424,499,009",835,Boomers,1
1995,female,7,264000,2.65,"2,424,499,009",835,Generation X,1
1995,female,8,356400,2.24,"2,424,499,009",835,Boomers,1
1995,male,6,376500,1.59,"2,424,499,009",835,Millenials,1
1995,female,2,180400,1.11,"2,424,499,009",835,Silent,1
1995,female,2,348700,0.57,"2,424,499,009",835,Millenials,1
2000,male,17,232000,7.33,"3,632,043,908",1299,Generation X,1
2000,male,10,177400,5.64,"3,632,043,908",1299,Silent,1
2000,female,2,37800,5.29,"3,632,043,908",1299,G.I. Generation,1
2000,male,1,24900,4.02,"3,632,043,908",1299,G.I. Generation,1
2000,female,6,263900,2.27,"3,632,043,908",1299,Generation X,1
2000,male,5,240000,2.08,"3,632,043,908",1299,Generation X,1
2000,female,5,332200,1.51,"3,632,043,908",1299,Boomers,1
2000,female,3,245800,1.22,"3,632,043,908",1299,Generation X,1
2000,male,4,374700,1.07,"3,632,043,908",1299,Boomers,1
2000,male,1,374900,0.27,"3,632,043,908",1299,Millenials,1
2000,female,0,324700,0.0,"3,632,043,908",1299,Millenials,1
2000,female,0,168000,0.0,"3,632,043,908",1299,Silent,1
2005,female,0,281922,0.0,"8,158,548,717",2931,Millenials,1
2005,female,0,190745,0.0,"8,158,548,717",2931,Generation X,1
2005,female,0,386513,0.0,"8,158,548,717",2931,Boomers,1
2005,female,0,276559,0.0,"8,158,548,717",2931,Millenials,1
2005,female,0,210998,0.0,"8,158,548,717",2931,Silent,1
2005,female,0,53191,0.0,"8,158,548,717",2931,Silent,1
2005,male,0,281675,0.0,"8,158,548,717",2931,Millenials,1
2005,male,0,177519,0.0,"8,158,548,717",2931,Generation X,1
2005,male,0,380242,0.0,"8,158,548,717",2931,Boomers,1
2005,male,0,291367,0.0,"8,158,548,717",2931,Millenials,1
2005,male,0,214118,0.0,"8,158,548,717",2931,Silent,1
2005,male,0,38471,0.0,"8,158,548,717",2931,Silent,1
2010,male,20,241852,8.27,"11,926,953,259",4359,Silent,1
2010,male,20,371611,5.38,"11,926,953,259",4359,Generation X,1
2010,male,9,179720,5.01,"11,926,953,259",4359,Generation X,1
2010,male,2,50767,3.94,"11,926,953,259",4359,Silent,1
2010,male,10,279508,3.58,"11,926,953,259",4359,Millenials,1
2010,female,6,183579,3.27,"11,926,953,259",4359,Generation X,1
2010,female,2,64415,3.1,"11,926,953,259",4359,Silent,1
2010,female,12,394593,3.04,"11,926,953,259",4359,Generation X,1
2010,female,7,241491,2.9,"11,926,953,259",4359,Silent,1
2010,female,6,263581,2.28,"11,926,953,259",4359,Millenials,1
2010,female,2,223969,0.89,"11,926,953,259",4359,Generation Z,1
2010,male,0,240939,0.0,"11,926,953,259",4359,Generation Z,1
2012,female,0,8435,0.0,"1,211,411,704",13657,Millenials,2
2012,female,0,7215,0.0,"1,211,411,704",13657,Millenials,2
2012,female,0,15193,0.0,"1,211,411,704",13657,Generation X,2
2012,female,0,8401,0.0,"1,211,411,704",13657,Generation Z,2
2012,female,0,5512,0.0,"1,211,411,704",13657,Boomers,2
2012,female,0,1625,0.0,"1,211,411,704",13657,Silent,2
2012,male,0,7893,0.0,"1,211,411,704",13657,Millenials,2
2012,male,0,6629,0.0,"1,211,411,704",13657,Millenials,2
2012,male,0,13280,0.0,"1,211,411,704",13657,Generation X,2
2012,male,0,8475,0.0,"1,211,411,704",13657,Generation Z,2
2012,male,0,4994,0.0,"1,211,411,704",13657,Boomers,2
2012,male,0,1051,0.0,"1,211,411,704",13657,Silent,2
2013,female,0,8494,0.0,"1,192,925,407",13287,Millenials,2
2013,female,0,7397,0.0,"1,192,925,407",13287,Millenials,2
2013,female,0,15236,0.0,"1,192,925,407",13287,Generation X,2
2013,female,0,8353,0.0,"1,192,925,407",13287,Generation Z,2
2013,female,0,5787,0.0,"1,192,925,407",13287,Boomers,2
2013,female,0,1652,0.0,"1,192,925,407",13287,Silent,2
2013,male,0,8061,0.0,"1,192,925,407",13287,Millenials,2
2013,male,0,6782,0.0,"1,192,925,407",13287,Millenials,2
2013,male,0,13302,0.0,"1,192,925,407",13287,Generation X,2
2013,male,0,8405,0.0,"1,192,925,407",13287,Generation Z,2
2013,male,0,5238,0.0,"1,192,925,407",13287,Boomers,2
2013,male,0,1072,0.0,"1,192,925,407",13287,Silent,2
2014,female,0,8537,0.0,"1,280,133,333",14093,Millenials,2
2014,female,0,7578,0.0,"1,280,133,333",14093,Millenials,2
2014,female,0,15273,0.0,"1,280,133,333",14093,Generation X,2
2014,female,0,8296,0.0,"1,280,133,333",14093,Generation Z,2
2014,female,0,6085,0.0,"1,280,133,333",14093,Boomers,2
2014,female,0,1686,0.0,"1,280,133,333",14093,Silent,2
2014,male,0,8208,0.0,"1,280,133,333",14093,Millenials,2
2014,male,0,6928,0.0,"1,280,133,333",14093,Millenials,2
2014,male,0,13325,0.0,"1,280,133,333",14093,Generation X,2
2014,male,0,8335,0.0,"1,280,133,333",14093,Generation Z,2
2014,male,0,5503,0.0,"1,280,133,333",14093,Boomers,2
